,review
10,The have the thicccccc cookies. I don't know how they make them so thicc. Highly recommend them no matter what time of the day and no matter what season!
11,"Warm, chocolatey, and definitely worth the hype!! The perfect treat after spending the day exploring the city."
12,What an incredible establishment. I'm going to keep this review short and sweet.. Try the chocolate walnut cookie. Hands down one of the best cookies I have ever had in my life.
13,"Mouth watering okey gooey cookies. I've had cookies like Levain before but never actually tried the real version. Hot off the press and a better take on the classic cookie. I undoubtedly appreciate a gooey cookie, one that oozes the minute you crack it and fills your mouth with a little warm cookie dough on the inside and a slightly crunchier outside. I love that Levain bakery has more than just your typical cookies, they also have pastries which look delicious. While I haven't tried the pastries, If they're anything like the cookies they would be outstanding. Levain offers a handful of flavors such as two chip, a their original which is walnut and chocolate chip, oatmeal raisin and dark chocolate peanut butter. I wanted to try them all but I opted for the original and Two chip. I would say that the original was my favorite of the two. It has that crunch from the walnuts and a delicate nutty flavor that pairs perfectly with the rich chocolate flavor."
14,"This place is amazing!Customer service was so welcoming.Such great flavor in their huge and delicious cookies, wow!When I looked at their cookies for the first time my mouth watered instantly.. I couldn't just settle for one flavor so we chose three and all were five stars. We got the chocolate chip walnut, oatmeal raisin, and double chocolate chip.There was no inside seating so we took our cookies and sat on a near by bench in front and dug in! It took us two full days to finish all three cookies because you get such a sugar rush from just a couple of bites!Before visiting my fiancé kept seeing these bags with Levain on it. He thought it was a jewelry store or something of that nature until I came across the place on my map. I guess it's really popular here and I'm glad I got to try it!"
15,"Levain is worth the hype and 100% worth a visit to if you're visiting NYC. I really, really like Levain. BUT it's not my favorite cookie in New York (see: Chip, Maman, Culture Espresso). The cookies are slightly crispy on the outside, extra chewy on the inside, and the best when served warm. They are absolutely massive and thus slightly undercooked on the inside."
16,"My husband and I came here to get the cookies! He's particularly obsessed with bitter and likes how the chocolate here isn't too sweet. He got the chocolate walnut cookie and I got the 2 chip cookie. He said mine was more bitter. I wish they had a milk chocolate option, but they're still very good, fresh, and warm!"
17,"I'm obsessed with this bakery!! Their cookies are to DIE FOR  Would definitely recommend sharing these cookies as they're so big and intense, but well worth it. One of the best bakeries on the UWS."
18,The BEST chocolate chip cookie I've ever eaten! Thick and gooey and rich and every bit worth the hype!!
19,"A nice thick doughy cookie if you don't like crispy/crunchy ones. I loved the chocolate chip walnut and the dark chocolate. It wasn't warm and gooey when I got it though, although the chocolate chips were semi-melted."
20,"As an entrepreneur, I appreciate great customer service first and foremost. I love the customer service at the Soho location. The store is well kept super clean and the entire staff is always working as a team. Often times employees are not aware but some of us watch The employees where we are spending our money. I have walked out of stores where there was no unity or teamwork. It makes consumers at ease to see teamwork. Susan at the Lafayette location helped us tonight she was super sweet. I would recommend this place to people who loves great baked goods and exceptional customer service."
21,We enjoyed this bakery a lot. Is it the best ever? That's hard for me to judge. I did eat the banana chocolate chip bread kinda quick and the cookies were thick and chock full of chocolate. We were lucky there was barely a line and it was the perfect late morning snack. Service was friendly and the coffee was delish. Prices were about what you would expect in the UWS. Definitely worth a visit!
22,These Cookies are Delicious!!!! It's a full meal..... There is no words for this But You must go and try for yourself.
23,"Want a gooey, chocolatey, sugary, cookie that will keep you craving more and more?'Nuff said. Go buy them. Even better, order them and save yourself the line. :)"
24,"Dulce de Leche cookies and cortado, do I need to say anything else? I love this place. The experience has been standardized and it is always great to have the same level of awesome customer service paired with their warm delicious cookies and coffee. You cannot miss this place."
25,"Stopped by Levain twice during my weekend NYC visit and I'm not even a sweets person. Cookies were warm and gooey in the center. You will definitely need coffee or tea to wash all the sweetness down. Also got a latte which I wasn't a fan of. It was super strong!! If you can handle a lot of caffeine then their coffee is for you. Brought a box of cookies back home to Cali and they stayed good for over a week in an airtight container. If you toss the cookie in the microwave for 10 seconds or so, they come out just like a fresh one. Gooey in the center and melted chocolate chips."
26,"I am ashamed to say that while I've heard of Levain before, I was not enticed to go try it until I watched that scene in TATBILB. And I was missing out!We came here on a weekday to get dessert after lunch and some coffee. We ate it before going to the museum. We just got their walnut chocolate chip cookie. It is a big cookie, so I would recommend sharing. It was hot and melted, so delicious but so sweet. I also ordered a coffee with milk. The staff is really nice and I love the branding of the store. There's also free postcards! I got to bring one home.I wish I came here with a larger group so we could try more cookies. Until next time!"
27,Cookie spheres. Nuff said :P really friendly staff and delicious sugar coma inducing cookies and pastries. Sort of New York prices but who cares.
28,"Going to keep this review short and sweet, unlike the long lines you might experience on the weekends. Large, crunchy on the outside and gooey inside cookies that are highly addicting. If you're a chocolate lover - definitely get the double chocolate cookie - but be warned, it's VERY chocolate-y. My favorite is the two chip, followed closely by the chocolate chip walnut cookie."
29,"When craving cookies make sure to go where you can appreciate the product. Double Chocolate Peanut Butter cookie taste BOMB when you pop it in the microwave for 10 seconds... Currently they only allow 4 people at a time, so you might walk up to a short but quick pace line. A whole in the wall well needed!"
30,"Cookies always on point. I had a double chocolate, the GOAT of their cookies. I've had slightly different cookies that I consider better. But this place rocks."
31,"There's a reason this place is so famous. Just go - you won't regret it. I've been to multiple locations and always have a consistent experience. The key is to get the cookies while they're fresh and hot! If you do not like doughy consistency with your cookies, then you won't like these. The cookies are pretty big and rich, so I can never eat a whole one in one sitting. I've ordered the: -Chocolate Chip Walnut: my favorite!-Dark Chocolate Peanut Butter: good, but oh so rich. -Oatmeal Raisin: my second favorite!"
32,"Delicious cookies with a crispy outside and soft & gooey (undercooked) inside!! Only tried the chocolate chip cookies, thought they were solid (amazing but not the best I've had). Always seems to be a line at this bakery, but on the plus side of that, the cookies are always fresh, and the line seems to move fast. Definitely worth a try!!"
33,"Omg wow, insanely good cookies. YummmmmmmmmmmmmMmmmmmmMmmmmmmMmmmmmmMmmmmmmMmmmmmm"
34,"Massive but delicious cookies. They lived  up to the hype for sure. I've seen these cookies with the dramatic videos showing people splitting them down the middle to reveal the melty and gooey chocolate chips. They looked so good but we are all the way on the West Coast... Fast forward a year or so, my cousins that live in Los Angeles now headed back home to NYC and brought us back some. I was grateful to finally get to try some of Levain's famous cookies. The chocolate chip walnut was so very good. The cookie batter was moist and the chocolate chips themselves were a great semi-sweet taste that every cookie should have. The oatmeal raisin is also very good. One of the better oatmeal raisin cookies I've had... The last one I tried was the dark chocolate with peanut butter chips inside them. This one wasnt as great as I'd hoped. It was too rich for me and my least favorite of the three I got to try. The first two were really good cookies. They are HUGE. The following week, I decided to order a signature cookie assortment for Levain to be delivered to my lady for our anniversary. It's a 4-pack of cookies for $27 + $19 for 2-day shipping. She got one each of Chocolate Chip Walnut, Dark Chocolate Chocolate Chip, Dark Chocolate Peanut Butter Chip and Oatmeal Raisin. She was one happy camper when it was delivered at her work. It arrived as expected with a custom message on a postcard from me and was packaged well. I was happy with that online order and I'm glad I did it. I cant wait to go back to NYC so I can finally try Levain Bakery in person. The baguettes look so good. I gotta have em... Until then, I'm left with ordering the cookies."
35,"Simply the best chocolate chip cookie available anywhere. I had heard this before but had never tried, dissuaded by the lines outside. Now I know why people are willing to wait for these nuggets of perfection!"
36,If you want to try the best cookies then you have to go to Levain bakery. They have multiple locations so I'm pretty sure it won't be too hard to find. The cookies are pricey but they are pretty big so it's worth it. So good with some coffee/tea.
37,"I love this place, one of the best chocolate cookies ever, the blueberry taste very good too. Yum! Highly recommended! Enjoy :)"
38,"Living up to its iconic name of being gooy and a mountain of a cookie. Served nice and warm these cookies are a staple of nyc! Inside the store they have many workers taking your order and the line moves quite fast. They even have a water pitcher for those who might a refreshing drink. We tried the chocolate walnut and the dark choco with peanut butter. To start we tasted the dark choco one, which we thought had a good distribution of peanut butter chips making for that beautiful cross section photo. Although I wasn't expecting the peanut to be in the form of a chip it was yummy nonetheless.... a little on the sweet side for me personally. The choco walnut cookie was a little too sweet for my liking to order again but it was a solid cookie! Love walnuts in my baked goods :)"
39,"The best doughy, chewy, decadent cookies! The classic leaving cookie is the walnut chocolate chip. It's a big chewy cookie with an almost doughy center. The walnuts and chocolate chips are chunky and add so much! I highly recommend asking for the cookies to be warmed when you order. Also try to eat it quickly after purchasing! These aren't as good after a few hours, but when fresh they are heaven on earth.They also now have a gluten free option, which I was so happy about. I got a large oat milk cappuccino with my walnut chocolate chip gluten free cookie. Every bite was so rich and delicious. It's pretty decadent, so I usually save half of my cookie to finish slowly. My brother got an oatmeal raisin and a peanut butter chocolate cookie with a side of milk. He loved both cookies! I didn't try his, but they both looked great. He said the chocolate peanut butter was definitely more rich than the oatmeal."
40,Do yourself a favor and stop by one of the bakeries. My cookies are always warm and the chocolate chips always melt as I take bites. Extremely fluffy and soft. I always make sure to leave room to treat myself to them. Some of the best cookies I've had across the nation.
41,"Chocolate chip cookies in which to indulge. One is so good that you should tie yourself to your chair to keep from reaching for more.If you try once, you will be a repeat consumer, for sure."
42,let's say my husband and I walked for 40 minutes to get to the bakery. We ordered two chocolate chip walnut cookies and one oatmeal raisin. The cookies were huge and heavy my husband ate it really quickly within three minutes while I savor mine throughout the day because I know that it's really good and that it has a lot of calories. I was able to bring home one of the cookies to my daughter in San Francisco but she doesn't like oatmeal cookies so I happily eat it and savored it as well I am very happy that I was able to try the cookies and look forward to having it again when I'm in NYC
43,"Best cookies ever!! Warm, crunchy outside & soft in the middle with perfect sweetness."
44,"I was worried that all the hype around this place would set my expectations too high and leave me disappointed. But boy was I wrong. These cookies are phenomenal. Dense, rich, and well worth the $4.50 price point. I tried the chocolate chip walnut and oatmeal raisin and both were perfection. I'm pretty picky when it comes to cookies... but zero complaints to be had. I will 100% be returning. Thank you Levain!"
45,"Best efffin cookies hands down. I always go for the chocolate chip. Its like a good steak, you have the nice crisp exterior and soft like butter interior"
46,"I always look forward to coming to get Levain cookies when in town and once again this did not disappoint. Cookies were freshly out of the oven, nice and warm. Gooey on the inside with a little crunch around the edges. I recommend the two chip cookie but if you are okay with a nutty cookie, the walnut chocolate chip is the OG."
47,"After lunch @ Flushings we doubled back to Manhatten for some sweets, Levain was first on the hit list.We got 1 flavors of each and they were very good.  At $4.5 each these monsters were nearly the size of a muffin!  My fav was the 2 chip chocolate chip cookie, it was stuffed with so much chocolate its reminiscent of the chocolate custard fillings inside a French chocolate croissant.  At the hotel we microwaved it for 10 sec and they tasted even better.  My endocrinologist should be worried."
48,"Look, I'm all for long, descriptive reviews that will help you make informed decisions about where you do and how you spend your money but there's really only one word necessary for this place. DELICIOUS. spend the college fund. The house fund. The retirement fund. You won't regret it. So delicious. So good."
49,Was in town for a quick visit and had to stop by the famous Levain bakery. I was a little suspicious that it was maybe over hyped but I was not! We got two cookies and they were massive. Went with the classic chocolate chip and then a chocolate cookie with peanut butter and chocolate chips. Both were awesome and a little different. You could easily share one but who wants to do that.
50,"I have never been a big fan of cookie and came here mainly because of the hype. The cookie was good and met the standards. It was thick, soft on inside and crunchy on the outside. Would def recommend this place to cookie lovers. However if you aren't a cookie person, this won't be a place that changes you mind"
51,Love love the amount of chocolates in the cookie. Wow.  Worth the walk from midtown. Wish they had more shops.
52,"If you want thick luscious cookies that will put you into an amazing food coma for hours, then look no further. Levain bakery knows where it's at! Each bite is crunchy on the outside and yet soft on the inside; it always leaves you wanting more. A must try!"
53,"Their cookies are DELICIOUS!! It's thick, yet soft inside and crunchy outside. Definitely a must try!"
54,My only reservation is the price per cookie. But it's still a high recommendation for me. Those cookies are absolutely bomb!
55,"I am definitely a member of Levain Bakery fan club! Their cookies are the softest, gooey-est ever. Just the right amount of sweet, and the perfect texture. My favorite is the chocolate chip w/ walnut cookie. Best eaten fresh. If you end up not finishing your batch the same day (likely not), just warm it up in the oven for a few minutes and it will be perfect again."
56,"*Rating based solely on FOOD* Presentation: 5Texture: 2.5Flavor: 4Would return? No Must-try: Chocolate Peanut Butter Chip CookieDisclaimer: I'm a crispy cookie type of person, which is why I don't love the texture of these. The edges are crispy but the middle, even though slightly chewy, is almost raw. If you like softer cookies then you'll love these! The flavors are amazing - I tried all 5 flavors and the most original one is chocolate peanut butter chip, but if you don't like peanut butter you probably won't like it. Classic chocolate chip and double chocolate chip tasted great as well. I think some salt on top could be beneficial here for a more complex flavor. My least favorite one was oatmeal raisin - there was something off here. Hope this helps! Z."
57,This is my favorite cookie. The chocolate chip walnut. Why is this place not five stars? Do some people not like cookies? Do some people prefer cookies that aren't crispy on the outside and gooey on the inside? Maybe some people don't think waiting for food is ever worth it?
58,"I had high hopes for this place, especially with the ratings and the line. However, the cookies were way too soft for me. They were warm, which is granted with how many they need to churn out. The packaging, however, was great and is definitely a nice dessert gift."
59,"I definately undertand the hype around this bakery. Let's start by the cookies being massive so you definately get your money's worth. Next, they taste DELICIOUS!!! Worth the line and the wait."
60,"Crazy, crazy good. Close your eyes and picture the most perfect cookie....crispy on the outside, soft and creamy on the inside with warm oozing goodness from every nook and crannies. Imagine warm creamy peanut butter oozing out of a warm chocolate cookie. It's real, it's no longer a dream!!Unlike most commercial cookies, these are NOT too sweet, so they keep you wanting another bite, until it's gone and then you're very very sad. These cookies are served warm, as if they just came out of the oven. Perfection! Oh and they are ALL delectible! Yes, I've tried them ALL!"
61,"BEST COOKIES EVERRRRR. Chocolate walnut is my absolute fave. Whenever I try a new cookie spot, I always compare it to Levain."
62,"LEGENDARY upper west-side bakery cranking out consistently good big cookies. We came to ""the cookie place"" almost a decade ago visiting some friends and I still remember the name after the single cookie we ate. It's no small feat to be considered ""NYC's best cookie"" by so many reviewers and publications.Recently, my wife passed on a lot of our baby-stuff to a coworker w/ a newborn and they mail-ordered these cookies for us as an awesome thank you.Very easy to reheat, just 5-10 minutes at 350 degrees and you can preserve them for a long time in the freezer. One whole cookie is too much for one of us and we split 1 cookie between me, my wife, and our oldest as an occasional treat.The cookies are soft and gooey in the center, slightly under baked intentionally. They are a treat warm and we love it with coffee or milk to cut some of the sweet. All of them are also irregular and not perfectly shaped giving them a cool ""small-batch"" and home made feel.Our mail-order present had the iconic chocolate chip, chocolate, and peanut butter. All of which we recommend though my personal fav. was the peanut butter."
63,"Levain has absolutely monstrously thick cookies. The pictured offender was about the size of a baseball and took me the entire day to finish. It was also absolutely delicious. However, I would have preferred a slightly smaller cookie because I was unable to enjoy the entire thing fresh. 4.50 may seem expensive for a cookie, and it is, but these are very big cookies. My friend got the dark chocolate and it also looked really good but definitely less thick."
64,"This place is just way too good. I rarely eat cookies but this place just does it right. Also, it's so huge that one cookie can last like 4-5 snacks session.I definitely want to try all the flavors eventually too.Friendly staff, good price, and amazing cookies"
65,"Never disappointed by these cookies. 100% worth the the hype!! We always stop by here when we are on the Upper Westside. My favorites are either the classic walnut chocolate chip or the chocolate peanut butter, but you really can't go wrong with any of the cookies!"
66,The team at Levain are always friendly and the  chocolate chip walnut cookies are absolutely delicious!! What more could you ask for!
67,"THICK and GOOEY cookies! I have tried all their cookies and my favorites are the Chocolate Chip Walnut Cookie and the Dark Chocolate Peanut Butter Cookie. You can't go wrong with any of their flavors. The perfect thickness and chubbiness, not overly sweet or bland.Hands down, favorite cookie place."
68,"Move over Insomnia Cookies.  Your competition has won. I order from here regularly. Yes, the cookies are expensive, but they are so delectably chewy, moist and rich, the price is worth it.My favorites are oatmeal raisin cookie and their original chocolate walnut."
69,I travel from jersey all the time to come get these cookies. The two chip chocolate chip cookies are my favorite and are the perfect snack when I need to indulge. They have a few bakeries scattered throughout the city and they all provide the same exceptional service.
70,"The food is amazing but the staff is appallingly rude. Like unapologetically, brazenly rude. You'll like what you eat but be treated very, very bad."
71,"We got the tickets for each person who entered for ordering meals. There's long line of customers and our line certainly not moving for more than 30 minutes, plus the customers in front us seemed continuously ordered stacks and stacks of sandwiches. And we finally get rescued when one of the staff reminded about their waited service, all you have to do was walk to the back of the restaurant and they're servers waiting for you, it was that's the best decision! We ordered the famous pastrami sandwich, matzo ball soup and frankfurter, the NY best natural casing all beef dog. All are deliciously juicy and perfect! Their cucumber pickles are very crunchy and refreshing. The restrooms checked was good, although it's hidden (read the signage on the back), some water splashed on the floor, just have to be careful with your steps around. It was a great experience to be in one of legendary list of restaurants with 132 years of life history!"
72,"After years of wanting to try this I finally did. This place did not disappoint. Pastrami is the best I've ever tasted and the quality is top notch. It melts in your mouth and it's hard to stop eating especially with the amazing pickles. This place is such a nice experience and I like how they give you a ticket to get your food and you pay after eating and feel like you're going back in time of the old days where this was the style. As for the bagels, it was so good I didn't have time to take a picture. Tip: Put some pastrami in the bagel and eat up. It's sooo amazing."
73,"This place is unapologetically oldschool and an embodiment of the New York character, and every minute of it is fantastic. You'll have to see it for yourself; you'll read other reviews of the staff being totally brazen; they're right, and good! it's absolutely fantastic. The sandwiches themselves are rather pricy but frankly half of one -- perhaps accommodated by other side items -- should be ample in satisfying a standard appreciate. And, I mean, the meat is great.They have a separate area where they'll wrap up your food if you give it to them -- I saved half for my hotel room, and without having heated it up or anything it might've been the best cold leftovers I've had in my life. Somehow, I think I enjoyed eating cucumbers with a meal for the first time in my life. Did I say the meat was great? Because it is. My god"
74,"Come early to avoid long lines. Sandwiches are available even early in the morning! Pastrami is tender and flavorful. Worth coming at least once for their big Pastrami sandwiches. They asked if we wanted a table with service. She took us passed everyone and seated us (in the back smaller room). Waiter came to the table for our order. Need to pay at the counter in the main room (left side for cash; right back area if credit card)Homemade Matzo Ball Soup has 1 big tender matzo ball that can easily be cut into with a spoon. Chicken soup is slightly salty with bits of carrots and celery that were tender with still some texture $8.95Homemade ColeSlawis loose and adds a lot of creaminess for a good  sandwich$7.45Potatoe Latkes (6 halves) w/ sour cream & applesauce. Dense $13.95.  3*Hot Potatoe Knishhas a fluffy interior $5.953 Meat Platter with pastrami, brisket & corned beef is big enough to feed at least 3 people. Comes with a tower of light rye bread slices (12 cushy fresh halves) and a plate of pickles (bright ones were briny & salty; darker ones were 2x as salty) $41.95Pastrami is moist, tender, flavorful & not that saltyBrisket is tender & not that saltyCorned beef is a thicker cut, slightly salty, & almost as tender as the others Katz's Pastrami Sandwich big enough for 2 to share or 1 very hungry $24.95Black & White Cookie tender cookie with vanilla and chocolate icing $4.25Locatedon SW corner of E Houston St & Ludlow St-1 block west of Essex St -3 blocks north of Delaney St (Tenement Museum)-1mi NE of Manhattan Bridge"
75,"Sunday around 10 AM had quite a line out the door and around the corner. They were not offering table service on this day. Once we were in the door, lines at the stations were also quite long. We waited about 20 minutes to get to the counter and were able to order! Hand your ticket over the counter and they'll track all the items you purchase. Made sure to hold onto all of the tickets you have, you'll need them on the way out. after you're done eating you can pay with card at the back or pay cash up front. Paying with card you'll present your receipt at the front. This really was the best pastrami I've ever had. Perfectly seasoned and so tender. Quite pricey at $25 a sandwich, but it was an experience!"
76,Ok so I know that a pastrami sandwich is now $24.95. Overpriced ... sure it's NYC and it's the famous Katz's deli. Now you can buy and sit down after but it's very casual. I got there early like 11-12 noon and no line thank god! The Guy who made was sandwich was easy on the eye. I enjoyed watching him make my sandwich . now I know $24.95 is a lot for a sandwich but holy moly it's large . Had two meals with it. I asked for extra mustard and delicious pickles came on the side. Definitely need a doggie bag to take home
77,"I went on a Saturday for lunch, and for it being close to Russ&Daughters it was a tourists dilemma on which to choose to eat! The line was quite long and it passed the CVS doors IIRC, but it moved really fast. When you get in, you're given a ticket you should keep since that's how you'll pay, but I'm not sure why they gave everyone one. I got 3 sandwiches amongst adults, and we had some leftovers. We got the famous Pastrami (best one), Reuben, and Roast Beef sandwiches. The sandwiches, although super pricey at $25 a pop, was really flavorful, fresh, and tender. As we watched our server cut the beef, he gave us multiple free samples of each meat we ordered as a taste, and asking us if we liked it to continue with the order, which was really nice! I've also read other reviews on less friendly servers, so I guess it just depends on who you line up for once you get in. You also get free cucumbers and pickles if requested! I though the sandwiches were a little on the saltier side, but the cucumbers were able to neutralize the salt. I probably wouldn't come back here if I were ever in NYC again, but it's definitely a must try on any list of NYC foods bucket list!"
78,Finally made my way to trying this famous deli in NY and I was very much worth the wait. In fact I can't wait to go back to NYC to have a pastramis sandwich from Katz.We ordered the classic Katz pastrami hot sandwich and also a bagel breakfast pastrami sandwich. They were ABSOLUTELY DELICIOUS. It really is in fact the best pastrami sandwich I've ever had in my life.
79,"Came by March 2022 on a Wednesday, waited in line for about 10 min, there were 2 couples ahead of me. Will was the person preparing my sandwich, I saw guys with the thicker looking bread and wanted to try it this way. I had it with Rye a few years ago, but I don't like Rye. I got the pastrami sandwich with the garlic bread and added cheese. When I say I was shocked at how delicious it was, I was having a pleasurable moment with this beautifully crafted sandwich. I don't know if it's the way Will cut that smoked pastrami, or the love he had when he stuffed that soft garlic bread with all that meat and cheese and just added love into it, but I was in food heaven when I ate into this. I added more table side mustard (because I love mustard)  and it just made it even more special. The pastrami was tender, flavorful and seasoned just perfectly. Not salty at all. I remember it being salty 5 years ago, but nope, not this time. It was delicious. The layers of meat, bread and cheese was perfect. Soft, tender, juicy, it was filling. One sandwich is definitely enough for two people. I couldn't finish one half (I also just ate a Levain cookie about 30 min prior too)Definitely taste it. It's delicious. Grab a ticket when you walk in, walk up to one of the sandwich prep guys and wait in line to order your food, get drinks and side after and they fill your little ticket. You sit down and enjoy your food, then pay when you leave. Easy, simple. The crowd is a lot better now. 5 years ago it was packed and difficult to find a spot to sit and eat. It's definitely worth it!"
80,"I've made numerous Katz's visits. But this was the first time for my Mom, which stunned me. She asked for waiter service, which I didn't expect. For me, it's all about ordering a sandwich at the counter and watching the cutter do the carving. That said, I wasn't going to argue. But we waited 20 minutes on line to get a table and we split two sandwiches. One was a pastrami with Swiss cheese and mustard, I mean, you can't come here and not get pastrami. We also got roast beef with dressing from a country in Europe and Asia that I won't identify, along with Swiss, lettuce, and tomato. Unbelievably great, the quality of the meat is simply the best in the world. I just wish the rye bread had a little more crust or some caraway seed for that extra texture. The potato salad was a little too creamy for my taste, but adding a little salt, pepper and mustard did the trick. With the pickles, I prefer the full sours here, which is odd for me, I've always been a half sour fan. But these half sours taste like cucumbers more than pickles. And again, the rye bread needed caraway seeds and crunch. I've seriously had better rye bread in LA.But the waiter service... don't do it. Ours never checked on how our food tasted and was very slow with drink refills. Also they didn't tell us that the counter at the door is cash only, so mom had to walk towards the back to pay via card. The bussers are awesome, they work quickly and are super friendly."
81,"What a zoo in here. We had to wait in line for 20 minutes before finally getting inside on a Sunday afternoon. Once inside, they give you a ticket that you must keep so that they staple the receipt to and show on your way out. Oh brother! Do they really have that many people ordering food and not paying to warrant this crazy security measure?!At any rate, once we got inside, it was another 15 minute wait to get a table. FYI, the When Harry Met Sally sign pointing to where it happened is no longer over an actually table, just a spot on the floor. One we sat, the server greeted us in about 10 minutes and took our order. All sandwiches are $24 and up. All you get with them is a plate of dill and garlic pickles. For lunch, we went with a sandwich of half brisket and half pastrami on rye. It was good, with lots of meat, but the rye bread had nothing on it. It was just bread and meat. Adding their brown mustard on the table helped give it some wetness. Overall the meat quality was top notch, the the pastrami having some nice bark on it. The brisket meat was softer than the tougher pastrami meat. To drink, we ordered the Pilsner beer (too bitter for me) and a chocolate egg cream drink which tasted like a very watered down chocolate milk. We also had a vanilla egg cream which tasted a bit better, but still very thin and watery."
82,"I was getting an itch.  A travel itch again and went back to New York City in November 2021 for a quick 3 day weekend trip.  I went with a friend, and it was his first time in New York City, so I wanted to show him the NYC basics.One of the definites is at Katz's Deli.  We tried Pastrami sandwich, potato salad, and pickles.  Generally speaking, I am not a fan of pickles, but I liked the pickles where (that were more bright green).  Definitely a fan!  #WhenHarryMetSally #NYCMustHaves"
83,My daughter said dad we need to hit that Katz's again before we fly home and hey I'm not one to say no to that deliciousness. We jumped on the subway and made our way down to this famous institution and had an awesome lunch.  It was packed to the gills and the line was down the street.  It took about 30 minutes for us to make it inside and get our carver. Oh man this place is fantastic and has ruined me on pastrami now.  Oh I can't wait until I'm back in the city and get me another sandwich
